4.88E-80,3.17E-71,6.10E-60,9.87E-38,1,2.48E-25,1.36E-45,2.47E-114,6.04E-92,1.78E-96,2.46E-84,3.32E-35,Sweep
3.56E-78,9.80E-70,6.52E-55,1.63E-34,1,6.55E-23,2.34E-43,1.75E-112,4.28E-90,1.26E-94,1.74E-82,2.35E-33,Sweep
2.55E-72,9.85E-65,1.48E-46,3.59E-26,1,7.63E-12,1.41E-36,1.24E-105,7.77E-84,1.37E-88,1.90E-76,2.56E-27,Sweep
1.05E-66,5.91E-59,4.63E-41,3.79E-20,0.999990873,9.13E-06,2.94E-31,3.99E-100,1.17E-78,3.65E-82,5.90E-69,3.85E-22,Sweep
7.23E-65,6.16E-60,2.44E-27,1.89E-13,1.75E-10,1,2.29E-28,5.77E-98,1.69E-76,5.28E-80,8.53E-67,5.57E-20,Sweep
3.45E-66,1.31E-62,8.56E-20,1.71E-13,6.80E-23,1,2.60E-23,1.66E-93,1.34E-76,2.55E-81,3.67E-68,2.39E-21,Sweep
1.27E-63,1.75E-63,1.05E-22,2.11E-16,5.55E-40,1,2.66E-10,5.52E-72,7.91E-73,4.48E-79,2.71E-67,3.66E-18,Sleep
6.86E-67,3.29E-68,1.16E-45,4.13E-30,2.41E-57,3.43E-13,1,2.17E-28,4.89E-76,2.77E-82,1.68E-70,2.27E-21,Sleep
4.24E-75,6.98E-77,1.12E-68,3.99E-45,2.34E-70,4.98E-30,1.75E-05,0.999982487,4.29E-85,1.87E-90,1.21E-78,1.63E-29,Sleep
7.94E-91,3.05E-93,2.69E-84,1.26E-60,3.17E-86,5.20E-49,7.61E-21,1,4.42E-101,1.64E-106,2.26E-94,3.06E-45,Sleep
7.94E-91,3.05E-93,2.69E-84,1.26E-60,3.17E-86,5.20E-49,7.61E-21,1,4.42E-101,1.64E-106,2.26E-94,3.06E-45,Sleep
2.81E-88,1.08E-90,1.73E-81,6.17E-58,1.55E-83,1.85E-45,6.18E-18,1,2.85E-98,5.80E-104,8.02E-92,1.08E-42,Sleep
2.38E-94,9.13E-97,2.65E-88,2.06E-64,5.18E-90,2.80E-54,3.52E-25,1,4.37E-105,4.90E-110,6.79E-98,9.17E-49,Sleep
2.38E-94,9.13E-97,2.65E-88,2.06E-64,5.18E-90,2.80E-54,3.52E-25,1,4.37E-105,4.90E-110,6.79E-98,9.17E-49,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
