Activity,livingroom_tempterature,livingroom_humidity,livingroom_luminance,study_tempterature,study_humidity,study_luminance,kitchen_tempterature,kitchen_humidity,kitchen_luminance,hallway_tempterature,hallway_humidity,hallway_luminance,bedroom_tempterature,bedroom_humidity,bedroom_luminance,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study,Timestamp
 PlayingKinect,24.65,56.92,96.6,26.02,48.84,4.2,27.78,44.84,12.9,27.03,54.23,18,25.24,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-33
 PlayingKinect,24.65,56.92,96.6,26.02,48.91,4.2,27.77,44.71,19.35,27.03,54.23,18,25.25,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-34
 PlayingKinect,24.64,56.92,96.6,26.02,48.91,4.2,27.76,44.71,12.9,27.02,53.98,16,25.24,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-35
 PlayingKinect,24.64,56.92,98.7,26.02,48.91,4.2,27.78,44.71,15.05,27.02,53.86,18,25.23,50.92,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-36
 PlayingKinect,24.65,56.97,86.1,26.04,49.02,6.3,27.78,44.71,15.05,27.03,53.75,16,25.24,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-37
 PlayingKinect,24.65,56.97,88.2,26.04,49.02,4.2,27.78,44.78,19.35,27.02,53.75,16,25.24,51.03,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-39
 PlayingKinect,24.66,56.97,92.4,26.05,49.02,18.9,27.79,44.84,15.05,27.02,53.98,20,25.27,50.98,18,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-40
 PlayingKinect,24.66,56.92,92.4,26.04,49.02,8.4,27.79,44.84,15.05,27.03,54.18,20,25.27,50.98,18,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-41
 PlayingKinect,24.65,56.92,94.5,26.04,49.02,6.3,27.79,44.84,15.05,27.02,54.47,20,25.27,51.05,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-42
 PlayingKinect,24.65,56.92,94.5,26.05,49.02,4.2,27.79,44.84,17.2,27.03,54.72,16,25.27,51.05,40.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-43
 PlayingKinect,24.65,56.92,94.5,26.05,49.02,4.2,27.8,44.84,15.05,27.03,54.85,24,25.27,51.05,40.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-44
 PlayingKinect,24.66,56.92,94.5,26.06,49.02,6.3,27.8,44.84,17.2,27.03,54.47,18,25.26,51.05,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-45
 PlayingKinect,24.65,56.92,94.5,26.05,49.02,12.6,27.82,44.78,15.05,27.03,54.23,16,25.27,51.05,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-46
 PlayingKinect,24.65,56.92,94.5,26.05,49.02,12.6,27.82,44.73,12.9,27.03,53.8,18,25.27,51.05,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-47
 PlayingKinect,24.65,56.92,96.6,26.04,49.02,4.2,27.82,44.73,12.9,27.02,53.55,20,25.28,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-48
 PlayingKinect,24.65,56.84,96.6,26.06,49.02,4.2,27.84,44.73,12.9,27.02,53.55,16,25.28,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-49
 PlayingKinect,24.65,56.84,96.6,26.06,49.02,6.3,27.82,44.73,12.9,27.02,53.75,18,25.27,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-50
