NoActivity, 2015-04-07-07-43-15,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-20,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-26,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-31,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-36,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-41,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-46,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-51,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-56,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-02,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.3,48.44,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
