Activity,livingroom_luminance
 WatchingTV,233.1
 WatchingTV,235.2
 WatchingTV,184.8
 WatchingTV,199.5
 WatchingTV,207.9
 WatchingTV,207.9
 WatchingTV,224.7
 WatchingTV,195.3
 WatchingTV,195.3
 WatchingTV,197.4
 WatchingTV,224.7
 WatchingTV,224.7
 WatchingTV,224.7
 WatchingTV,224.7
 WatchingTV,233.1
 WatchingTV,233.1
 WatchingTV,233.1
 WatchingTV,182.7
 WatchingTV,222.6
 WatchingTV,197.4
 WatchingTV,249.9
 WatchingTV,197.4
 WatchingTV,197.4
 WatchingTV,197.4
 WatchingTV,212.1
 WatchingTV,189
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,184.8
 WatchingTV,231
 WatchingTV,184.8
 WatchingTV,235.2
 WatchingTV,235.2
 WatchingTV,228.9
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,199.5
 WatchingTV,216.3
 WatchingTV,216.3
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,237.3
 WatchingTV,182.7
 WatchingTV,218.4
 WatchingTV,218.4
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,182.7
 WatchingTV,228.9
 WatchingTV,203.7
 WatchingTV,216.3
 WatchingTV,235.2
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,205.8
 WatchingTV,241.5
 WatchingTV,241.5
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,189
 Studying,10.5
 Studying,16.8
 Studying,12.6
 Studying,18.9
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,12.6
 Studying,10.5
 Studying,18.9
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,25.2
 Studying,12.6
 Studying,14.7
 Studying,27.3
 Studying,14.7
 Studying,16.8
 Studying,16.8
 Studying,16.8
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,27.3
 Studying,10.5
 Studying,12.6
 Studying,14.7
 Studying,14.7
 Studying,10.5
 Studying,12.6
 Studying,23.1
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,14.7
 Studying,12.6
 Studying,16.8
 Studying,14.7
 Studying,16.8
 Studying,10.5
 Studying,27.3
 Studying,14.7
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,16.8
 Studying,12.6
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,14.7
 Studying,10.5
 Studying,14.7
 Studying,10.5
 Studying,10.5
 Studying,16.8
 Studying,10.5
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,14.7
 Studying,16.8
 Studying,18.9
 Studying,12.6
 Studying,21
 Studying,21
 Studying,14.7
 Studying,18.9
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,21
 Studying,21
 Studying,21
 Studying,12.6
 Studying,12.6
 Studying,29.4
 Studying,29.4
 Studying,12.6
 Studying,12.6
 Studying,16.8
 Studying,25.2
 Studying,12.6
 Studying,18.9
 Studying,14.7
 Studying,14.7
 Studying,12.6
 Studying,16.8
 Studying,21
 Studying,21
 Studying,14.7
 Studying,14.7
 Studying,14.7
 Studying,18.9
 Studying,12.6
 Studying,21
 Studying,12.6
 Studying,10.5
 Studying,14.7
 Studying,21
 Studying,21
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,29.4
 Studying,18.9
 Studying,12.6
 Studying,23.1
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,16.8
 Studying,14.7
 Studying,21
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,18.9
 Studying,14.7
 Studying,14.7
 Studying,25.2
 Studying,14.7
 Studying,16.8
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,31.5
 Studying,31.5
 Studying,12.6
 Studying,21
 Studying,12.6
 Studying,18.9
 Studying,18.9
 Studying,29.4
 Studying,12.6
 Studying,12.6
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,14.7
 Studying,14.7
 Studying,16.8
 Studying,12.6
 Studying,12.6
 Studying,16.8
 Studying,14.7
 Studying,14.7
 Studying,14.7
 Studying,14.7
 Studying,12.6
 Studying,21
 Studying,21
 Studying,12.6
 Studying,12.6
 Studying,16.8
 Studying,10.5
 Studying,14.7
 Studying,14.7
 Studying,12.6
 Studying,12.6
 Studying,14.7
 Studying,14.7
 Studying,14.7
 Studying,16.8
 Studying,27.3
 Studying,12.6
 Studying,18.9
 Studying,12.6
 Studying,18.9
 Studying,14.7
 Studying,14.7
 Studying,16.8
 Studying,12.6
 Studying,16.8
 Studying,16.8
 Studying,14.7
 Studying,27.3
 Studying,12.6
 Studying,14.7
 Studying,18.9
 Studying,18.9
 Studying,12.6
 Studying,16.8
 Studying,14.7
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,21
 Studying,12.6
 Studying,14.7
 Studying,14.7
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,10.5
 Studying,14.7
 Studying,14.7
 Studying,21
 Studying,21
 Studying,21
 Studying,12.6
 Studying,12.6
 Studying,21
 Studying,10.5
 Studying,12.6
 Studying,21
 Studying,21
 Studying,12.6
 Studying,14.7
 Studying,18.9
 Studying,14.7
 Studying,14.7
 Studying,14.7
 Studying,21
 Studying,12.6
 Studying,27.3
 Studying,10.5
 Studying,10.5
 Studying,14.7
 Studying,21
 Studying,21
 Studying,12.6
 Studying,16.8
 Studying,10.5
 Studying,10.5
 Studying,12.6
 Studying,14.7
 Studying,27.3
 Studying,12.6
 Studying,18.9
 Studying,12.6
 Studying,25.2
 Studying,16.8
 Studying,16.8
 Studying,14.7
 Studying,21
 Studying,12.6
 Studying,16.8
 Studying,16.8
 Studying,12.6
 Studying,27.3
 Studying,14.7
 Studying,23.1
 Studying,12.6
 Studying,12.6
 Studying,12.6
 Studying,12.6
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,16.8
 UsingNoteBook,12.6
 UsingNoteBook,25.2
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,18.9
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,16.8
 UsingNoteBook,12.6
 UsingNoteBook,18.9
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,16.8
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,25.2
 UsingNoteBook,25.2
 UsingNoteBook,27.3
 UsingNoteBook,14.7
 UsingNoteBook,27.3
 UsingNoteBook,16.8
 UsingNoteBook,12.6
 UsingNoteBook,18.9
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,18.9
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,16.8
 UsingNoteBook,18.9
 UsingNoteBook,8.4
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,21
 UsingNoteBook,23.1
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,31.5
 UsingNoteBook,31.5
 UsingNoteBook,31.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,18.9
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,25.2
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,27.3
 UsingNoteBook,10.5
 UsingNoteBook,25.2
 UsingNoteBook,10.5
 UsingNoteBook,25.2
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,18.9
 UsingNoteBook,18.9
 UsingNoteBook,10.5
 UsingNoteBook,21
 UsingNoteBook,10.5
 UsingNoteBook,18.9
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,29.4
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,16.8
 UsingNoteBook,16.8
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,27.3
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,16.8
 UsingNoteBook,21
 UsingNoteBook,21
 UsingNoteBook,14.7
 UsingNoteBook,23.1
 UsingNoteBook,14.7
 UsingNoteBook,14.7
