Activity,livingroom_tempterature
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.6
 WatchingTV,24.6
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.6
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.6
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.64
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 Studying,24.6
 Studying,24.6
 Studying,24.6
 Studying,24.59
 Studying,24.59
 Studying,24.6
 Studying,24.59
 Studying,24.59
 Studying,24.59
 Studying,24.59
 Studying,24.59
 Studying,24.57
 Studying,24.59
 Studying,24.58
 Studying,24.58
 Studying,24.57
 Studying,24.57
 Studying,24.58
 Studying,24.58
 Studying,24.57
 Studying,24.57
 Studying,24.57
 Studying,24.57
 Studying,24.57
 Studying,24.56
 Studying,24.57
 Studying,24.57
 Studying,24.55
 Studying,24.55
 Studying,24.56
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.56
 Studying,24.55
 Studying,24.55
 Studying,24.54
 Studying,24.55
 Studying,24.56
 Studying,24.54
 Studying,24.54
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.56
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.54
 Studying,24.55
 Studying,24.55
 Studying,24.55
 Studying,24.54
 Studying,24.54
 Studying,24.53
 Studying,24.54
 Studying,24.54
 Studying,24.54
 Studying,24.53
 Studying,24.53
 Studying,24.53
 Studying,24.53
 Studying,24.53
 Studying,24.53
 Studying,24.52
 Studying,24.52
 Studying,24.52
 Studying,24.51
 Studying,24.53
 Studying,24.53
 Studying,24.52
 Studying,24.53
 Studying,24.51
 Studying,24.52
 Studying,24.52
 Studying,24.52
 Studying,24.52
 Studying,24.51
 Studying,24.51
 Studying,24.52
 Studying,24.51
 Studying,24.51
 Studying,24.52
 Studying,24.52
 Studying,24.5
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.5
 Studying,24.5
 Studying,24.5
 Studying,24.52
 Studying,24.5
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.52
 Studying,24.51
 Studying,24.52
 Studying,24.51
 Studying,24.51
 Studying,24.52
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.5
 Studying,24.5
 Studying,24.51
 Studying,24.5
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.51
 Studying,24.5
 Studying,24.5
 Studying,24.5
 Studying,24.49
 Studying,24.5
 Studying,24.51
 Studying,24.5
 Studying,24.5
 Studying,24.51
 Studying,24.51
 Studying,24.49
 Studying,24.5
 Studying,24.5
 Studying,24.5
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.48
 Studying,24.49
 Studying,24.48
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.48
 Studying,24.49
 Studying,24.48
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.5
 Studying,24.5
 Studying,24.49
 Studying,24.49
 Studying,24.5
 Studying,24.5
 Studying,24.5
 Studying,24.5
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.48
 Studying,24.48
 Studying,24.49
 Studying,24.49
 Studying,24.49
 Studying,24.48
 Studying,24.48
 Studying,24.48
 Studying,24.48
 Studying,24.47
 Studying,24.48
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.46
 Studying,24.47
 Studying,24.46
 Studying,24.48
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.46
 Studying,24.47
 Studying,24.49
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.48
 Studying,24.47
 Studying,24.47
 Studying,24.48
 Studying,24.46
 Studying,24.47
 Studying,24.47
 Studying,24.46
 Studying,24.46
 Studying,24.47
 Studying,24.47
 Studying,24.48
 Studying,24.47
 Studying,24.48
 Studying,24.47
 Studying,24.46
 Studying,24.48
 Studying,24.48
 Studying,24.47
 Studying,24.48
 Studying,24.48
 Studying,24.48
 Studying,24.48
 Studying,24.47
 Studying,24.48
 Studying,24.48
 Studying,24.47
 Studying,24.47
 Studying,24.48
 Studying,24.48
 Studying,24.46
 Studying,24.46
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.47
 Studying,24.46
 Studying,24.47
 Studying,24.47
 Studying,24.48
 Studying,24.47
 Studying,24.46
 Studying,24.46
 Studying,24.47
 Studying,24.47
 Studying,24.46
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.44
 Studying,24.44
 Studying,24.44
 Studying,24.44
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.44
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.45
 Studying,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.47
 UsingNoteBook,24.46
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.43
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.44
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.37
 UsingNoteBook,24.37
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.41
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.44
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.45
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.46
 UsingNoteBook,24.46
 UsingNoteBook,24.46
 UsingNoteBook,24.46
 UsingNoteBook,24.46
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.49
 UsingNoteBook,24.49
 UsingNoteBook,24.49
 UsingNoteBook,24.49
 UsingNoteBook,24.49
 UsingNoteBook,24.49
 UsingNoteBook,24.5
 UsingNoteBook,24.48
 UsingNoteBook,24.48
 UsingNoteBook,24.48
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.47
 UsingNoteBook,24.47
 UsingNoteBook,24.48
 UsingNoteBook,24.47
 UsingNoteBook,24.46
 UsingNoteBook,24.47
 UsingNoteBook,24.45
 UsingNoteBook,24.46
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.45
 UsingNoteBook,24.44
 UsingNoteBook,24.44
 UsingNoteBook,24.43
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.42
 UsingNoteBook,24.43
 UsingNoteBook,24.43
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.42
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.41
 UsingNoteBook,24.4
 UsingNoteBook,24.42
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.4
 UsingNoteBook,24.39
 UsingNoteBook,24.39
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.36
 UsingNoteBook,24.38
 UsingNoteBook,24.38
 UsingNoteBook,24.36
 UsingNoteBook,24.36
 UsingNoteBook,24.37
 UsingNoteBook,24.37
 UsingNoteBook,24.36
 UsingNoteBook,24.37
 UsingNoteBook,24.36
 UsingNoteBook,24.36
 UsingNoteBook,24.37
 UsingNoteBook,24.37
 UsingNoteBook,24.36
 UsingNoteBook,24.36
 UsingNoteBook,24.36
 UsingNoteBook,24.37
 UsingPC,24.56
 UsingPC,24.56
 UsingPC,24.55
 UsingPC,24.57
 UsingPC,24.55
 UsingPC,24.55
 UsingPC,24.56
 UsingPC,24.56
 UsingPC,24.56
 UsingPC,24.55
 UsingPC,24.56
 UsingPC,24.55
 UsingPC,24.57
 UsingPC,24.55
 UsingPC,24.55
 UsingPC,24.56
 UsingPC,24.55
 UsingPC,24.55
 UsingPC,24.55
 UsingPC,24.54
 UsingPC,24.53
 UsingPC,24.53
