X	Y	Z	Pitch	Roll
2.8824692	-9.187599	0.8135797	56.618465	0.57504237
2.8226142	-10.985645	0.7034464	56.618465	0.57504237
3.2511764	-8.890718	-0.37873277	55.09656	0.6102999
3.1075242	-9.283367	0.5741595	55.09656	0.6102999
3.0644286	-9.276185	1.4217069	55.09656	0.6102999
3.4786255	-9.12535	0.3060089	54.782238	-3.4465008
-0.9267057	-10.104579	0.8662521	54.782238	-3.4465008
0.41404727	-8.804527	0.40417117	54.782238	-3.4465008
3.1506197	-8.363994	2.7217584	55.27781	-1.7482492
3.4666545	-10.7534075	3.5070565	55.27781	-1.7482492
4.254347	-9.697564	2.2333412	55.27781	-1.7482492
4.2591352	-9.441384	1.7042227	55.54595	2.053035
3.662979	-8.356812	0.97877955	55.54595	2.053035
2.9064112	-9.448567	1.7161937	55.54595	2.053035
1.9463364	-9.257031	2.0441992	53.326195	3.9447095
1.1754034	-9.379135	3.3897407	53.326195	3.9447095
-0.119859725	-10.961703	3.928436	53.326195	3.9447095
-0.7950246	-11.950508	5.3936877	44.47977	-2.579424
-0.58194065	-7.803751	4.131943	44.47977	-2.579424
0.7444471	-7.0519714	6.3896756	44.47977	-2.579424
0.7636007	-4.56679	7.510162	38.281445	-3.5188203
2.4084172	-3.5612254	7.0313215	38.281445	-3.5188203
3.402011	-4.870854	5.4511485	38.281445	-3.5188203
4.6781206	-7.061548	4.42643	39.32387	-1.6795566
4.793042	-8.474127	3.0880713	39.32387	-1.6795566
5.0995	-9.070284	1.7999908	39.32387	-1.6795566
5.693262	-7.782203	0.93089557	38.364677	-3.0398088
5.6717143	-7.652916	-0.76180506	38.364677	-3.0398088
5.729175	-6.355259	-1.8152539	38.364677	-3.0398088
5.3939867	-6.216395	-2.519149	26.804327	-6.7557297
4.3477206	-7.9426146	-4.274099	26.804327	-6.7557297
4.706851	-8.292168	-4.2070613	26.804327	-6.7557297
5.2024508	-7.605032	-3.814412	20.201786	-11.815965
4.469825	-5.866842	-3.0602386	20.201786	-11.815965
6.7084036	-8.6991825	-2.5119665	20.201786	-11.815965
6.3420906	-8.658481	-1.9301754	21.375021	-15.873401
7.041198	-11.004799	-3.6396356	21.375021	-15.873401
5.812972	-7.1118264	-2.885462	21.375021	-15.873401
4.8792334	-9.264214	0.85667527	17.485117	-16.078907
1.0652701	-3.1685762	4.7807717	17.485117	-16.078907
5.7698765	-6.1517515	4.63712	17.485117	-16.078907
3.6318543	-11.462091	2.1639094	11.112219	-21.21429
4.340538	-7.447015	3.727323	11.112219	-21.21429
4.469825	-8.680029	0.45205522	11.112219	-21.21429
4.812196	-9.781362	0.6771102	12.642669	-20.68654
3.6342485	-9.795727	-1.9325697	12.642669	-20.68654
4.9199347	-9.436596	-1.0538976	12.642669	-20.68654
5.4538417	-9.132533	-0.34521395	13.50596	-21.229216
5.3413143	-8.854805	0.10010756	13.50596	-21.229216
