X	Y	Z	Pitch	Roll
-11.5433445	-4.889708	-2.3285108	3.6798425	97.03582
-10.123583	-5.679795	-0.7531261	3.6798425	97.03582
-7.813178	-4.650288	0.30271688	4.751931	97.168594
-6.142025	-5.2129254	1.3202527	4.751931	97.168594
-5.0813937	-6.120328	2.1725883	4.751931	97.168594
-4.2649713	-7.604733	2.8764837	6.065438	95.08827
-4.004003	-7.453898	2.8285997	6.065438	95.08827
-2.6440966	-8.658181	4.0496426	6.065438	95.08827
-2.1820157	-9.721207	5.115062	8.270512	93.47529
-2.210746	-9.532065	4.9761987	8.270512	93.47529
-1.5595231	-8.490587	4.708048	8.270512	93.47529
-0.9801263	-6.7093015	4.4398975	10.597902	93.70259
-0.2594716	-5.876119	4.2675147	10.597902	93.70259
0.037409402	-5.7707744	3.937115	10.597902	93.70259
0.5042787	-5.3446064	4.7511435	11.082863	94.09154
1.0477625	-5.6390934	4.9642277	11.082863	94.09154
1.5289971	-5.981464	4.966622	11.082863	94.09154
1.9288287	-6.491429	5.6776996	8.855202	94.92806
2.4100633	-7.190536	5.893178	8.855202	94.92806
2.323872	-7.8992195	6.063166	8.855202	94.92806
3.5281556	-7.9973817	5.878813	5.810502	93.53871
4.3350015	-8.801834	5.778256	5.810502	93.53871
5.2352214	-8.792256	5.5555954	5.810502	93.53871
4.718074	-8.411579	5.1773114	4.0992928	91.24783
4.4307694	-7.868095	4.9259205	4.0992928	91.24783
3.5664628	-8.437915	5.2491374	4.0992928	91.24783
3.0397384	-7.676559	5.3616652	4.5611405	90.58242
3.0253732	-7.3892546	5.2132244	4.5611405	90.58242
2.6255414	-7.240814	4.8014216	4.5611405	90.58242
2.3047185	-7.7675385	4.5093293	5.7747736	89.25879
2.0222025	-7.7555676	4.3153987	5.7747736	89.25879
2.1634605	-7.5089645	4.37286	5.7747736	89.25879
2.4172459	-6.824223	4.5332713	9.616375	90.89407
3.106776	-7.0229416	4.696077	9.616375	90.89407
3.4898481	-7.3174286	4.6434045	9.616375	90.89407
4.0046015	-7.7890863	4.7894506	10.215108	87.33866
3.880103	-8.33257	4.770297	10.215108	87.33866
3.8753147	-8.466645	4.9402857	10.215108	87.33866
3.7508163	-8.243984	5.0456305	6.372367	89.33222
3.6239235	-8.1697645	4.9594393	6.372367	89.33222
3.4778771	-8.078785	4.9714103	6.372367	89.33222
2.9703064	-7.6813474	4.9594393	7.789743	88.93515
